Trinidad & Tobago,7.8,8.1,8.6,8.9,9.2,9.7,9.9,14.3,14.2,13.3,10.2,11.7,11.7,11.0,9.1,8.6,9.6,9.9,9.0,8.1,8.4,9.1,8.0,8.3,8.0,9.6,9.1,10.6,10.7,10.2,11.3,11.8,10.8,10.3,12.4,12.9,14.0,15.9,17.6,18.6,18.7,23.4,26.0,26.3,25.1,26.8,26.7,26.1,27.4,26.8,26.3,24.0,23.8,-0.7%,0.3%,0.1%
Venezuela,43.7,44.0,46.0,48.9,49.1,49.3,49.5,52.2,59.6,60.7,62.6,66.1,73.8,75.1,83.1,95.3,99.2,99.8,98.3,98.4,99.9,105.6,101.2,103.6,106.1,111.9,105.9,116.4,113.7,122.1,126.7,118.8,125.8,135.6,129.7,130.8,143.2,145.4,126.1,139.9,146.3,165.4,164.0,172.2,169.9,168.3,169.3,180.1,177.1,168.0,162.4,154.0,147.0,-4.3%,-0.7%,0.4%
Central America,12.3,12.4,13.1,13.3,14.2,14.7,15.4,16.8,17.7,17.8,19.9,20.3,20.6,20.8,20.9,19.6,19.5,19.6,19.3,18.8,18.8,18.8,20.2,19.6,20.4,21.1,23.2,26.4,28.2,30.9,34.1,33.4,36.0,41.4,40.8,42.9,46.3,46.4,48.6,49.7,49.6,52.3,55.1,55.1,53.8,54.9,58.9,59.6,59.9,61.8,67.3,71.0,71.7,1.3%,3.1%,0.2%
Other Caribbean,41.3,43.1,45.0,46.2,49.1,52.7,77.5,79.9,87.3,86.6,83.3,86.2,88.9,91.5,96.4,105.0,106.3,96.4,95.9,96.9,89.6,89.3,92.7,91.9,96.1,97.1,92.3,90.7,91.5,96.9,95.3,97.0,106.2,109.7,101.2,113.4,121.4,120.9,126.1,129.3,130.9,134.3,133.5,125.6,119.8,120.6,121.8,116.8,113.6,114.5,118.4,120.5,118.9,-1.1%,-1.1%,0.4%
Other South America,7.1,7.4,7.9,8.2,8.7,9.1,9.8,11.5,11.6,10.3,11.9,12.2,12.9,14.6,15.4,15.0,14.6,13.7,12.0,12.0,12.6,12.6,12.9,14.5,14.8,14.1,14.7,15.4,16.1,17.9,20.4,21.0,21.3,21.8,23.6,20.7,20.0,20.2,21.6,23.1,23.4,23.7,25.6,28.2,29.9,32.3,32.8,34.4,34.5,35.0,34.8,35.6,36.0,1.7%,4.1%,0.1%
Total S. & Cent. America,293.1,308.8,320.3,339.7,354.6,368.1,408.1,434.8,474.8,491.1,490.8,517.9,543.1,562.7,590.9,609.1,604.7,594.6,585.3,591.2,591.5,627.1,644.6,657.6,671.1,658.9,665.6,705.7,720.5,760.3,794.0,825.1,864.8,902.7,886.9,905.3,924.3,921.7,920.9,976.9,1004.1,1059.4,1105.8,1150.9,1104.2,1187.3,1237.6,1288.8,1339.2,1362.1,1358.9,1327.3,1309.8,-1.0%,2.3%,3.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,39.5,39.8,40.1,42.9,46.0,50.6,53.2,54.4,57.8,55.1,53.1,57.9,53.7,55.9,58.5,57.0,53.6,51.0,50.2,51.8,52.9,52.6,53.3,51.6,51.9,55.7,59.7,55.4,55.2,55.4,59.4,61.2,61.6,61.6,61.3,61.3,66.1,67.0,73.0,71.7,73.5,71.7,68.0,68.5,62.6,67.8,65.2,62.6,62.8,58.8,61.2,61.5,64.2,4.8%,-1.5%,0.2%
Belgium,124.9,118.6,123.5,135.1,144.5,149.0,142.1,149.3,147.2,141.4,126.0,131.8,131.2,136.8,142.0,135.8,129.1,121.9,109.2,113.1,113.8,113.7,115.2,117.2,119.8,127.0,131.4,130.0,127.0,130.0,129.2,137.9,137.7,142.3,135.3,139.7,137.6,136.9,144.0,142.7,138.3,139.9,139.6,141.6,129.0,137.1,123.2,118.8,119.5,111.9,118.7,119.6,122.1,2.4%,-1.6%,0.4%
Bulgaria,36.7,39.2,45.2,51.0,55.7,62.4,64.6,66.6,68.6,69.9,75.1,75.9,78.4,82.1,84.9,89.1,85.5,87.0,86.0,85.0,84.9,87.9,87.8,86.6,86.8,66.2,54.0,50.9,53.3,51.1,54.1,52.6,51.7,49.6,43.9,43.6,46.1,44.6,47.9,47.0,48.2,49.2,52.5,50.3,43.2,45.0,50.4,45.3,39.9,42.5,45.3,42.2,45.9,9.2%,-1.5%,0.1%
Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21.5,15.2,14.7,15.4,14.7,15.3,15.3,16.9,18.2,18.8,17.7,18.5,19.6,21.0,20.2,20.8,20.8,22.0,21.1,19.8,19.0,18.3,16.6,16.1,15.8,16.3,16.5,15.4,-6.5%,-2.3%,?
